class_a_uri,class_a_curie,class_a_label,class_b_uri,class_b_curie,class_b_label,count
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,696
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,444
https://w3id.org/polifonia/ontology/core/TimeInterval,core:TimeInterval,core:TimeInterval,https://w3id.org/polifonia/ontology/core/TimeInterval,core:TimeInterval,core:TimeInterval,364
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/Person,schema:Person,schema:Person,363
http://schema.org/Person,schema:Person,schema:Person,https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,363
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,363
https://w3id.org/polifonia/ontology/core/Role,core:Role,core:Role,https://w3id.org/polifonia/ontology/core/Role,core:Role,core:Role,330
https://w3id.org/polifonia/ontology/music-meta/Release,mm:Release,mm:Release,https://w3id.org/polifonia/ontology/music-meta/Release,mm:Release,mm:Release,300
http://schema.org/ListItem,schema:ListItem,schema:ListItem,http://schema.org/ListItem,schema:ListItem,schema:ListItem,239
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,238
http://schema.org/ItemList,schema:ItemList,schema:ItemList,http://schema.org/ItemList,schema:ItemList,schema:ItemList,132
http://schema.org/PropertyValue,schema:PropertyValue,schema:PropertyValue,http://schema.org/PropertyValue,schema:PropertyValue,schema:PropertyValue,99
https://w3id.org/polifonia/ontology/music-meta/MusicGenre,mm:MusicGenre,mm:MusicGenre,https://w3id.org/polifonia/ontology/music-meta/MusicGenre,mm:MusicGenre,mm:MusicGenre,85
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,52
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,39
http://schema.org/VideoObject,schema:VideoObject,schema:VideoObject,http://schema.org/VideoObject,schema:VideoObject,schema:VideoObject,33
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,31
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,31
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,31
http://wembrewind.live/ex#MusicInstrument,ex:MusicInstrument,ex:MusicInstrument,http://wembrewind.live/ex#MusicInstrument,ex:MusicInstrument,ex:MusicInstrument,15
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,14
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/Organization,schema:Organization,schema:Organization,11
http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,11
http://www.w3.org/2004/02/skos/core#Concept,skos:Concept,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,skos:Concept,skos:Concept,9
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,6
http://schema.org/Review,schema:Review,schema:Review,http://schema.org/Review,schema:Review,schema:Review,5
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,4
http://schema.org/DefinedTerm,schema:DefinedTerm,schema:DefinedTerm,http://schema.org/DefinedTerm,schema:DefinedTerm,schema:DefinedTerm,4
http://schema.org/Place,schema:Place,schema:Place,http://schema.org/Place,schema:Place,schema:Place,4
http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,4
http://schema.org/City,schema:City,schema:City,http://schema.org/City,schema:City,schema:City,3
http://schema.org/MonetaryAmount,schema:MonetaryAmount,schema:MonetaryAmount,http://schema.org/MonetaryAmount,schema:MonetaryAmount,schema:MonetaryAmount,3
http://schema.org/Place,schema:Place,schema:Place,http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,3
http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,3
http://schema.org/Collection,schema:Collection,schema:Collection,http://schema.org/Collection,schema:Collection,schema:Collection,2
http://schema.org/Country,schema:Country,schema:Country,http://schema.org/Country,schema:Country,schema:Country,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,http://schema.org/Place,schema:Place,schema:Place,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,2
http://www.w3.org/ns/oa#SpecificResource,http://www.w3.org/ns/oa#SpecificResource,http://www.w3.org/ns/oa#SpecificResource,http://www.w3.org/ns/oa#SpecificResource,http://www.w3.org/ns/oa#SpecificResource,http://www.w3.org/ns/oa#SpecificResource,2
http://schema.org/Audience,schema:Audience,schema:Audience,http://schema.org/Audience,schema:Audience,schema:Audience,1
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,1
http://schema.org/Event,schema:Event,schema:Event,http://schema.org/Event,schema:Event,schema:Event,1
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/Place,schema:Place,schema:Place,1
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,1
http://schema.org/Schedule,schema:Schedule,schema:Schedule,http://schema.org/Schedule,schema:Schedule,schema:Schedule,1
http://wembrewind.live/ex#MedicalEvent,ex:MedicalEvent,ex:MedicalEvent,http://wembrewind.live/ex#MedicalEvent,ex:MedicalEvent,ex:MedicalEvent,1
http://www.w3.org/2004/02/skos/core#ConceptScheme,skos:ConceptScheme,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,skos:ConceptScheme,skos:ConceptScheme,1
