CQ_ID,,Refactored CQ,Answer,Concrete Answer,Source,Design Pattern,Randomizable,Persona,Category
CQ-E1,,What kind of event was [Event]?,[Event] was a global benefit concert held to raise funds for humanitarian relief.,Live Aid was a global benefit concert held to raise funds for humanitarian relief.,Wikipedia,Event Type Pattern (schema:Event),FALSE,Emma,Entry
CQ-E2,,Why was [Event] organized?,[Event] was organized to raise funds for famine relief in Ethiopia.,Live Aid was organized to raise funds for famine relief in Ethiopia.,BBC,Event–Purpose Pattern (schema:about),FALSE,Emma,Entry
CQ-E3,,Which [Artist] performed at [Event] held at [Venue]?,"[Venue] featured performances by artists such as [Artist1], [Artist2], and [Artist3] during [Event].",Queen performed at Live Aid held at Wembley Stadium.,Wikipedia / MusicBrainz,Composite Event Pattern (schema:MusicEvent → location → performer),TRUE,Emma,Entry
CQ-E4,,Which [Artist] performed during [Event]?,"Artists who performed during [Event] include [Artist1], [Artist2], and [Artist3].",Queen performed during Live Aid.,Wikipedia / MusicBrainz,Composite Event Pattern (schema:Event → subEvent → performer),TRUE,Emma,Entry
CQ-E5,,Which [City] or [Country] hosted [Event]?,"[Event] was hosted in cities such as [City1], [City2], and countries including [Country1], [Country2].","London, UK and Philadelphia, USA hosted Live Aid.",Wikipedia,Event–Location Pattern (schema:Event → location → Place),FALSE,Emma,Entry
CQ-E6,,Which [Venue] hosted [Event]?,[Event] was hosted at venues such as [Venue1] and [Venue2].,Wembley Stadium hosted Live Aid.,Wikipedia,Event–Location Pattern (schema:Event → location → Place),FALSE,Emma,Entry
CQ-E7,,What role did television and media coverage play in [Event]?,"[Event] was broadcast worldwide via television and radio, expanding its global impact.","Live Aid was broadcast worldwide via television and radio, expanding its global impact.",BBC / Wikipedia,Event–MediaReach Pattern (schema:BroadcastEvent → broadcastOfEvent),FALSE,Emma,Entry
CQ-E8,,Who organized [Event]?,[Event] was organized by [Person1] and [Person2].,Live Aid was organized by Bob Geldof and Midge Ure.,Wikipedia / BBC,Event–Agent Pattern (schema:organizer → Person),TRUE,Emma,Entry
CQ-E9,,Which [Performance] at [Event] is considered iconic?,[Performance] by [Artist] at [Venue] during [Event] is widely considered iconic.,Queen's performance at Wembley during Live Aid is widely considered iconic.,BBC / Rolling Stone / Wikipedia,"Performance Entity Pattern (schema:Event → subEvent → MusicEvent → performer, track, review, location, mainEntityOfPage)",TRUE,Emma,Core
CQ-E10,,Which [Song] did [Artist] perform at [Event]?,"[Artist] performed a medley including [Song1], [Song2], and [Song3] at [Event].","Queen performed 'Bohemian Rhapsody', 'Radio Ga Ga', and 'We Are the Champions' at Live Aid.",MusicBrainz / Setlist.fm,"Performance–Setlist Pattern (schema:MusicEvent, schema:track)",TRUE,Emma,Core
CQ-E11,,When did [Artist] debut?,[Artist] debuted in [Year] with a performance or release in [City/Country].,Madonna debuted in 1982 with a performance in New York City.,Wikipedia / MusicBrainz / Discogs,"Artist–Debut Pattern (schema:MusicGroup or schema:Person → schema:startDate, schema:location)",TRUE,Emma,Core
CQ-E12,,When was [Artist] formed?,[Artist] was formed in [Year] in [City/Country].,"Queen was formed in 1970 in London, UK.",Wikipedia / MusicBrainz,Artist–Formation Pattern (schema:MusicGroup → foundingDate),TRUE,Emma,Core
CQ-E13,,Who were the members of [Artist]?,"[Artist] included members such as [Member1], [Member2], and [Member3].","Queen included Freddie Mercury, Brian May, Roger Taylor, and John Deacon.",Wikipedia / Discogs,Group Membership Pattern (schema:MusicGroup → member),TRUE,Emma,Core
CQ-E14,,Who were the solo artists that performed at [Event]?,"Solo artists who performed at [Event] included [Artist1], [Artist2], and [Artist3].","Solo artists who performed at Live Aid included Madonna, Elton John, and David Bowie.",Wikipedia / MusicBrainz,Event–Artist Role Filter (performer rdf:type = schema:Person),TRUE,Emma,Core
CQ-E15,,What [Genre] are associated with [Artist]?,"[Artist] is associated with genres such as [Genre1], [Genre2], and [Genre3].","Queen is associated with rock, hard rock, and glam rock.",Wikipedia / AllMusic,Artist–Genre Pattern (schema:genre),TRUE,Emma,Core
CQ-E16,,What enabled the global broadcast of [Event]?,[Event] was broadcast globally via satellite uplinks and international television networks.,Live Aid was broadcast globally via satellite uplinks and television networks.,BBC / Wikipedia,Event–Distribution Pattern (schema:BroadcastEvent),FALSE,Emma,Core
CQ-E17,,What were the challenges in organizing [Event]?,"Coordinating two venues, artist schedules, and live global broadcasts presented logistical and technical challenges.","Coordinating two venues, artist schedules, and live global broadcasts presented logistical and technical challenges.",BBC Interviews / Event retrospectives,"Event–OrganizationalChallenge Pattern (schema:Event → description, schema:organizer)",FALSE,Emma,Core
CQ-E18,,How did [Event] influence future benefit concerts?,[Event] set the standard for global fundraising concerts and inspired events like Live 8 and Global Citizen.,Live Aid set the standard for global fundraising concerts and inspired events like Live 8 and Global Citizen.,Wikipedia / BBC / Music Critics,Event–Legacy Influence Pattern (schema:Event → relatedEvent),FALSE,Emma,Core
CQ-E19,,What were the reactions of the audience or media to [Artist]’s [Performance] at [Event]?,[Artist]’s performance was widely acclaimed by critics and praised by audiences for its energy and charisma.,Queen’s performance was widely acclaimed by critics and praised by audiences for its energy and charisma.,Rolling Stone / BBC / Fan Commentary,"Artist–Reception Pattern (schema:review, schema:comment)",TRUE,Emma,Core
CQ-E20,,How much money was raised by [Event]?,[Event] raised over $125 million for famine relief efforts.,Live Aid raised over $125 million for famine relief efforts.,Wikipedia / BBC / Event archives,Event–Outcome (schema:Event → MonetaryAmount),FALSE,Emma,Exit
CQ-E21,,Which [Organization] archived the broadcast of [Event]?,[Organization] archived the Wembley broadcast of [Event].,The BBC archived the Wembley broadcast of Live Aid.,BBC Archives / Wikipedia,"Event–Archive (schema:BroadcastEvent, schema:provider)",FALSE,Emma,Exit
CQ-E22,,Which[Organization] failed to archive the broadcast of [Event]?,[Organization] did not preserve the Philadelphia broadcast of [Event].,ABC did not preserve the Philadelphia broadcast of Live Aid.,Wikipedia / Music Documentaries,"Event–Preservation Gap (schema:BroadcastEvent, hasMissingFootage)",FALSE,Emma,Exit
CQ-E23,,What is the preservation status of [Event] broadcasts at [Venue]?,The broadcast from [Venue] was [preserved/deleted] by [Organization].,The broadcast from Wembley was preserved by the BBC.,Wikipedia / BBC / ABC,"Event–Venue–Archive Status (schema:subEvent, archivalStatus)",FALSE,Emma,Exit
CQ-E24,,Why is [Artist]’s performance at [Event] considered iconic?,"[Artist]’s performance at [Event] is widely praised for its energy, crowd engagement, and cultural impact.",Queen’s performance at Live Aid is widely praised for its energy and crowd engagement.,Rolling Stone / BBC / Music Critics,"Artist–Performance–Legacy (schema:review, schema:mainEntityOfPage)",TRUE,Emma,Exit
CQ-E25,,Which artifacts at [Museum] were used by [Artist] during [Event]?,"[Artist] used [Artifact] during [Event], which is now preserved at [Museum].","Freddie Mercury’s microphone stand, used during Queen’s performance at Live Aid, is now preserved at the BME.",BME Archives / Museum Catalogues,Artifact–Usage Pattern (schema:CreativeWork → schema:usedDuring → schema:Event),TRUE,Emma,Core
CQ-E26,,Which objects at [Museum] are linked to artists who performed at [Event]?,"[Museum] houses artifacts linked to artists who performed at [Event], including instruments, costumes, and memorabilia.","The BME exhibits include memorabilia linked to artists such as Queen, David Bowie, and Elton John who performed at Live Aid.",BME Archives / MusicBrainz / Wikipedia,Artifact–Performer Link (schema:CreativeWork → schema:creator → schema:MusicGroup/Person),TRUE,Emma,Core
CQ-E27,,What creative milestones defined [Artist]’s career before and after [Event]?,"[Artist] achieved major milestones before and after [Event], such as [Work1] in [Year1] and [Work2] in [Year2].","Before Live Aid, Queen released 'The Works' in 1984, and after the concert, they recorded 'A Kind of Magic' in 1986.",Wikipedia / Discogs / Music Historians,Artist–Career Phase (schema:MusicGroup → schema:workFeatured → schema:CreativeWork),TRUE,Emma,Core
CQ-L1,,What type of event was [Event]?,[Event] was a global benefit concert held to raise funds for humanitarian relief.,The Live Aid concert was held on 13 July 1985.,Wikipedia,Event Type Pattern (schema:Event),FALSE,Luca,Entry
CQ-L2,,How commercially successful was the Band Aid single 'Do They Know It's Christmas?' in the UK?,[Song] was released as a charity single in [Year] and became one of the best-selling singles in [Country].,The Band Aid single 'Do They Know It's Christmas?' was released in 1984 and became one of the UK's best-selling charity singles.,Wikipedia / Official Charts,Song–Commercial Performance (schema:MusicRecording → chartPosition),TRUE,Luca,Entry
CQ-L3,,Who were the organizers of [Event]?,[Event] was organized by [Person1] and [Person2] to raise funds for [Cause].,The event was organized by Bob Geldof and Midge Ure to raise funds for famine relief in Ethiopia.,Wikipedia / BBC,Event–Agent Pattern (schema:organizer → Person),FALSE,Luca,Entry
CQ-L4,,What were the locations that hosted [Event]?,[Event] was hosted at [Venue1] in [City1] and [Venue2] in [City2].,The concerts were hosted at Wembley Stadium in London and JFK Stadium in Philadelphia.,Wikipedia,Event–Location Pattern (schema:Event → location),FALSE,Luca,Entry
CQ-L5,,What was the attendance at each venue of [Event]?,[Event] had [Attendance1] at [Venue1] and [Attendance2] at [Venue2].,"Live Aid had about 72,000 at Wembley Stadium and 89,484 at JFK Stadium.",https://en.wikipedia.org/wiki/Live_Aid,Event–Location–Attendance Pattern (schema:Event → location → attendeeCount),FALSE,Luca,Entry
CQ-L6,,How many satellites were used during [Event]’s broadcast?,[Number] satellites were used to broadcast [Event].,Live Aid used 13 military satellites for global transmission.,https://www.oldvictheatre.com/stories/10-facts-about-the-history-of-live-aid,Event–BroadcastInfrastructure Pattern (schema:BroadcastEvent → satelliteCount),FALSE,Luca,Entry
CQ-L7,,What was the global TV audience size for [Event]?,[Event] was watched by an estimated [Viewers] people worldwide.,Live Aid was viewed by approximately 1.9 billion people in 150 countries.,https://en.wikipedia.org/wiki/Live_Aid,Event–AudienceReach Pattern (schema:BroadcastEvent → audience),FALSE,Luca,Entry
CQ-L8,,When did [Event] take place?,[Event] occurred on [Date].,Live Aid took place on 13 July 1985.,https://en.wikipedia.org/wiki/Live_Aid,Event–Date Pattern (schema:Event → startDate),FALSE,Luca,Entry
CQ-L9,,Who founded [Event]?,[Event] was founded by [Founder1] and [Founder2].,Live Aid was founded by Bob Geldof and Midge Ure.,https://en.wikipedia.org/wiki/Live_Aid,Event–Founders Pattern (schema:Event → organizer),FALSE,Luca,Entry
CQ-L10,,What was [Artist]’s full setlist at [Event]?,"[Artist] performed a [Number]-song setlist at [Event], including [Song1], [Song2], and [Song3].","Queen performed a six-song medley at Live Aid including Bohemian Rhapsody, Radio Ga Ga, Hammer to Fall, Crazy Little Thing Called Love, We Will Rock You, and We Are the Champions.",MusicBrainz / Setlist.fm,Performance–Setlist Pattern (schema:MusicEvent → track),TRUE,Luca,Core
CQ-L11,,Which [Artist] song was the third in their [Event] setlist in [Year]?,[Song] was the third track performed by [Artist] during their set at [Event].,"“Hammer to Fall” was the third song in Queen’s six-song setlist at Live Aid 1985, and it was a staple of their Works and Magic tours.",Setlist.fm / MusicBrainz,Performance–Setlist Position Pattern (schema:MusicEvent → track → position),TRUE,Luca,Core
CQ-L12,,What visual moment involving [Performer] occurred during their performance of [Song]?,"During [Song], [Performer] shared a notable visual moment with a [Entity], which became a visual highlight of [Event].","During “Hammer to Fall,” Freddie Mercury broke into a spontaneous ballet with a BBC cameraman, becoming a visual highlight.",BBC / Rolling Stone / Event Footage,Performance–Moment Pattern (schema:MusicEvent → hasPart → schema:CreativeWork or schema:MediaObject),TRUE,Luca,Core
CQ-L13,,What audience interaction occurred during [Artist]’s performance of [Song] at [Event]?,"During [Song], the audience engaged with [Artist] by [Interaction Type], which became a defining moment of [Event].","During “Radio Ga Ga,” Mercury got the entire Wembley Stadium to sing along with the chorus, despite battling laryngitis.",BBC / Event Reviews / Fan Recordings,Performance–Audience Interaction Pattern (schema:MusicEvent → audience → interactionType),TRUE,Luca,Core
CQ-L14,,Who were the founding members of [Artist]?,"[Artist] was formed by [Member1], [Member2], and [Member3] in [City/Country] in [Year].","Queen are a British rock band formed in London in 1970 by Freddie Mercury, Brian May, and Roger Taylor, later joined by John Deacon.",Wikipedia / MusicBrainz,"Artist–Formation Pattern (schema:MusicGroup → foundingDate, schema:member)",TRUE,Luca,Core
CQ-L15,,What [Genre] influenced [Artist]’s early music?,"[Artist]'s early music was influenced by genres such as [Genre1], [Genre2], and [Genre3].","Queen’s early music was influenced by progressive rock, hard rock, and heavy metal.",Wikipedia / AllMusic / MusicBrainz,Artist–Genre Pattern (schema:MusicGroup → genre),TRUE,Luca,Core
CQ-L16,,How did [Artist]’s musical style evolve over time?,"[Artist]'s musical style evolved from [Early Genre] to include [Later Genre], reflecting shifts in popular trends and artistic direction.","Queen’s early sound drew from progressive rock, hard rock and heavy metal, later shifting to arena rock and pop rock.",AllMusic / Rolling Stone,Artist–Style Evolution Pattern (schema:MusicGroup → genre + temporal qualifiers),TRUE,Luca,Core
CQ-L17,,What [Genre] did [Artist] incorporate later in their career?,"In their later years, [Artist] incorporated genres like [Genre1] and [Genre2] into their sound.","In their later years, Queen’s music incorporated arena rock and pop rock styles.",AllMusic / Discogs / Wikipedia,Artist–Later Genre Pattern (schema:MusicGroup → genre → dateQualifier),TRUE,Luca,Core
CQ-L18,,Why is [Artist]’s [Event][Performance] considered iconic?,"[Artist]'s [Event] performance is considered iconic due to [Element1] (e.g., vocal delivery, crowd interaction, cultural relevance).",Queen’s set is widely considered one of the most iconic live performances in rock history.,BBC / Rolling Stone / Music Critics,Performance–Legacy Pattern (schema:MusicEvent → review → schema:Review),TRUE,Luca,Core
CQ-L19,,What was the average length of [Event]?,[Event] lasted approximately [Duration] hours and featured over [Number] musical acts.,The event ran for approximately 16 hours and featured over 60 musical acts.,Wikipedia / Event Archives,"Event–Duration Pattern (schema:Event → duration, performerCount)",FALSE,Luca,Core
CQ-L20,,How many viewers watched [Event] globally?,[Event] reached an estimated global audience of [ViewerCount] across more than [CountryCount] countries.,It was broadcast to an estimated 1.5 billion viewers across more than 150 countries.,BBC / Event Archives / Wikipedia,Event–Broadcast Reach Pattern (schema:BroadcastEvent → audience),FALSE,Luca,Core
CQ-L21,,What facilitated the simultaneous global broadcast of [Event]?,[Event] was broadcast simultaneously via satellite uplinks and coordinated scheduling between [Venue1] and [Venue2].,"The concert was broadcast live via satellite uplinks, enabling synchronized performances across two continents.",BBC / Broadcast History Docs,"Event–Broadcast Technology Pattern (schema:BroadcastEvent → broadcastOfEvent, schema:BroadcastService)",FALSE,Luca,Core
CQ-L22,,How were [Performance] scheduled across the [Venue1] and [Venue2] during [Event]?,Performances at [Event] alternated between [Venue1] and [Venue2] to maintain global continuity and maximize coverage.,Performance slots were scheduled to alternate between the London and Philadelphia stages.,Event Schedule Records / Wikipedia,Composite Event Schedule Pattern (schema:Event → subEvent → startDate/time),FALSE,Luca,Core
CQ-L23,,What [Song] were performed by [Artist] at [Venue]?,"[Artist] performed a 21-minute medley at [Venue], including songs such as [Song1], [Song2], and [Song3].","Queen performed a 21-minute set at Wembley Stadium, including songs such as 'Bohemian Rhapsody,' 'Radio Ga Ga,' and 'We Are the Champions.'",Setlist.fm / MusicBrainz,"Performance–Venue–Setlist Pattern (schema:MusicEvent → location, track)",TRUE,Luca,Core
CQ-L24,,Which [Organization] preserved the [Venue] broadcast of [Event]?,The broadcast from [Venue] was preserved by [Organization].,The British Broadcasting Corporation (BBC) recorded and archived the full Wembley concert.,BBC Archives / Wikipedia,Event–Venue–Archive Pattern (schema:BroadcastEvent → provider),FALSE,Luca,Exit
CQ-L25,,Which [Organization] deleted the [Venue] broadcast of [Event]?,The broadcast from [Venue] was not preserved by [Organization].,The American Broadcasting Company (ABC) did not retain the Philadelphia master tapes.,Wikipedia / Music Documentaries,Event–Venue–Preservation Gap Pattern (schema:BroadcastEvent → hasMissingFootage),FALSE,Luca,Exit
CQ-L26,,What was the total amount raised by [Event]?,[Event] raised over [Amount] for [Cause].,Live Aid raised over $125 million (USD) for famine relief.,Wikipedia / BBC / Event Archives,Event–Outcome Pattern (schema:Event → MonetaryAmount),FALSE,Luca,Exit
CQ-L27,,Did [Event] serve as a model for subsequent charitable music events?,[Event] inspired later benefit concerts such as [RelatedEvent].,The event inspired later benefit concerts such as Live 8.,Music History Articles / Wikipedia,Event–Legacy Pattern (schema:Event → subjectOf → subsequentEvent),TRUE,Luca,Exit
CQ-L28,,Where can the public view artifacts from [Artist]’s [Event] performance?,Artifacts from [Artist]'s [Event] performance are on display at [Museum].,"Artifacts from Live Aid and Queen’s performance are preserved in the British Music Experience (BME), available for public viewing.",BME Archives / Exhibition Catalog,Artifact–Exhibit Pattern (schema:ExhibitionEvent → itemDisplayed),TRUE,Luca,Exit
CQ-L29,,Which objects at [Museum] are linked to artists who performed at [Event]?,"[Museum] houses artifacts linked to artists who performed at [Event], including instruments, costumes, and memorabilia.","The BME exhibits include memorabilia linked to artists such as Queen, David Bowie, and Elton John who performed at Live Aid.",BME Archives / MusicBrainz / Wikipedia,Artifact–Performer Link (schema:CreativeWork → schema:creator → schema:MusicGroup/Person),TRUE,Luca,Exit